"","Player","...1","seasonStartYear","salary","inflationAdjSalary","Rk","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player-additional"
"1","Aaron Gordon",77,2021,"16409091","17895714",74,26,"DEN","PF",75,75,2376,434,834,0.52,87,260,0.335,347,574,0.605,0.573,171,230,0.743,125,314,439,188,44,44,133,148,1126,0,NA,"gordoaa01"
"2","Aaron Henry",566,2021,"223338","243571",781,22,"PHI","SF",6,0,17,1,5,0.2,0,1,0,1,4,0.25,0.2,0,0,NA,0,1,1,0,0,2,2,2,2,0,NA,"henryaa01"
"3","Aaron Nesmith",265,2021,"3631200","3960177",464,22,"BOS","SF",52,3,574,72,182,0.396,31,115,0.27,41,67,0.612,0.481,21,26,0.808,15,74,89,22,20,5,31,70,196,0,NA,"nesmiaa01"
"4","Aaron Wiggins",451,2021,"1305761","1424059",309,23,"OKC","SG",50,35,1209,156,337,0.463,42,138,0.304,114,199,0.573,0.525,62,85,0.729,51,127,178,68,30,10,54,93,416,0,NA,"wiggiaa01"
"5","Abdel Nader",366,2021,"2000000","2181195",652,28,"PHO","SF",14,0,145,12,35,0.343,4,14,0.286,8,21,0.381,0.4,6,10,0.6,4,23,27,7,8,4,11,20,34,0,NA,"naderab01"
"6","Ade Murkey",644,2021,"53176","57993",807,24,"SAC","SG",1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,"murkead01"
"7","Admiral Schofield",490,2021,"723741","789309",511,24,"ORL","SF",38,1,469,54,129,0.419,26,79,0.329,28,50,0.56,0.519,12,15,0.8,17,72,89,25,4,5,21,58,146,0,NA,"schofad01"
"8","Ahmad Caver",633,2021,"53176","57993",779,25,"IND","SG",1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,NA,"caverah01"
"9","Al Horford",40,2021,"27000000","29446134",176,35,"BOS","C",69,69,2005,266,569,0.467,89,265,0.336,177,304,0.582,0.546,80,95,0.842,108,422,530,232,49,92,65,130,701,0,"DPOY-9","horfoal01"
"10","Alec Burks",138,2021,"9536000","10399938",106,30,"NYK","SG",81,44,2318,285,728,0.391,157,389,0.404,128,339,0.378,0.499,217,264,0.822,47,350,397,239,85,26,91,215,944,0,NA,"burksal01"
"11","Aleem Ford",640,2021,"53176","57993",719,24,"ORL","SF",5,0,74,6,20,0.3,2,15,0.133,4,5,0.8,0.35,0,0,NA,2,13,15,2,1,0,4,7,14,0,NA,"fordal03"
"12","Aleksej Pokusevski",280,2021,"3113160","3395204",291,20,"OKC","PF",61,12,1233,186,456,0.408,57,197,0.289,129,259,0.498,0.47,35,50,0.7,73,245,318,131,39,38,94,88,464,1,NA,"pokusal01"
"13","Alex Caruso",151,2021,"8600000","9379139",390,27,"CHI","SG",41,18,1147,102,256,0.398,42,126,0.333,60,130,0.462,0.48,58,73,0.795,33,115,148,165,71,15,57,106,304,0,NA,"carusal01"
"14","Alex Len",263,2021,"3732000","4070110",432,28,"SAC","C",39,10,620,94,176,0.534,6,21,0.286,88,155,0.568,0.551,41,63,0.651,52,109,161,45,13,25,43,100,235,0,NA,"lenal01"
"15","Alfonzo McKinnie",456,2021,"1090007","1188758",615,29,"CHI","SF",17,3,206,24,61,0.393,9,27,0.333,15,34,0.441,0.467,2,8,0.25,13,20,33,5,2,3,7,26,59,0,NA,"mckinal01"
"16","Amir Coffey",496,2021,"573576","625540",218,24,"LAC","SG",69,30,1567,211,466,0.453,96,254,0.378,115,212,0.542,0.556,101,117,0.863,26,171,197,124,38,15,45,87,619,0,NA,"coffeam01"
"17","Andre Iguodala",299,2021,"2641691","2881021",534,38,"GSW","SF",31,0,603,46,121,0.38,17,74,0.23,29,47,0.617,0.45,15,20,0.75,21,79,100,114,27,22,28,34,124,0,NA,"iguodan01"
"18","Andrew Wiggins",25,2021,"31579390","34440406",55,26,"GSW","SF",73,73,2330,475,1019,0.466,157,399,0.393,318,620,0.513,0.543,149,235,0.634,85,240,325,161,76,51,111,158,1256,0,"AS","wiggian01"
"19","Anfernee Simons",256,2021,"3938818","4295665",93,22,"POR","SG",57,30,1681,353,797,0.443,179,442,0.405,174,355,0.49,0.555,103,116,0.888,26,125,151,221,30,6,115,110,988,0,NA,"simonan01"
"20","Anthony Davis",14,2021,"35361360","38565013",112,28,"LAL","C",40,40,1404,370,695,0.532,13,70,0.186,357,625,0.571,0.542,174,244,0.713,106,288,394,122,49,90,82,97,927,0,NA,"davisan02"
"21","Anthony Edwards",124,2021,"10245480","11173695",19,20,"MIN","SG",72,72,2466,549,1245,0.441,215,602,0.357,334,643,0.519,0.527,220,280,0.786,62,281,343,275,105,46,190,164,1533,0,NA,"edwaran01"
"22","Anthony Gill",443,2021,"1517981","1655506",480,29,"WAS","PF",44,0,463,62,109,0.569,14,26,0.538,48,83,0.578,0.633,42,52,0.808,33,52,85,27,5,11,18,58,180,0,NA,"gillan01"
"23","Anthony Lamb",597,2021,"136095","148424",803,24,"SAS","SF",2,0,8,0,2,0,0,2,0,0,0,NA,0,0,0,NA,0,1,1,2,0,0,0,0,0,0,NA,"lamban01"
"24","Arnoldas Kulboka",513,2021,"462629","504542",802,24,"CHO","SF",2,0,5,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,NA,"kulboar01"
"25","Austin Reaves",469,2021,"925258","1009084",300,23,"LAL","SG",61,19,1418,146,318,0.459,53,167,0.317,93,151,0.616,0.542,99,118,0.839,45,148,193,110,29,20,40,87,444,1,NA,"reaveau01"
"26","Austin Rivers",319,2021,"2401537","2619110",320,29,"DEN","SG",67,18,1480,146,350,0.417,79,231,0.342,67,119,0.563,0.53,32,44,0.727,19,95,114,90,51,6,54,121,403,0,NA,"riverau01"
"27","Avery Bradley",301,2021,"2641691","2881021",324,31,"LAL","SG",62,45,1406,148,350,0.423,82,210,0.39,66,140,0.471,0.54,16,18,0.889,31,105,136,47,53,9,38,118,394,0,NA,"bradlav01"
"28","Ayo Dosunmu",465,2021,"925258","1009084",188,22,"CHI","SG",77,40,2110,278,535,0.52,70,186,0.376,208,349,0.596,0.585,53,78,0.679,27,187,214,256,60,29,108,182,679,0,NA,"dosunay01"
"29","Bam Adebayo",37,2021,"28103500","30649609",77,24,"MIA","C",56,56,1825,406,729,0.557,0,6,0,406,723,0.562,0.557,256,340,0.753,137,427,564,190,80,44,148,171,1068,0,"DPOY-4","adebaba01"
"30","Ben McLemore",326,2021,"2389641","2606136",201,28,"POR","SG",64,6,1285,216,539,0.401,151,417,0.362,65,122,0.533,0.541,72,88,0.818,12,91,103,59,38,10,55,103,655,0,NA,"mclembe01"
"31","Bismack Biyombo",428,2021,"1518213","1655759",446,29,"PHO","C",36,3,506,86,145,0.593,0,0,NA,86,145,0.593,0.593,38,71,0.535,63,104,167,23,12,26,25,70,210,0,NA,"biyombi01"
"32","Blake Griffin",21,2021,"32405817","35341704",347,32,"BRK","C",56,24,958,133,313,0.425,38,145,0.262,95,168,0.565,0.486,55,76,0.724,60,168,228,105,27,14,31,95,359,0,NA,"griffbl01"
"33","Bobby Portis",236,2021,"4347600","4741482",79,26,"MIL","C",72,59,2028,417,871,0.479,133,338,0.393,284,533,0.533,0.555,85,113,0.752,180,477,657,86,53,51,90,174,1052,0,NA,"portibo01"
"34","Bol Bol",345,2021,"2161152","2356947",653,22,"DEN","PF",14,0,81,15,27,0.556,1,4,0.25,14,23,0.609,0.574,2,5,0.4,4,16,20,5,1,2,4,4,33,0,NA,"bolbo01"
"35","Bones Hyland",349,2021,"2096880","2286852",178,21,"DEN","SG",69,4,1310,230,571,0.403,131,358,0.366,99,213,0.465,0.518,107,125,0.856,14,174,188,191,41,20,86,153,698,0,NA,"hylanbo01"
"36","Bradley Beal",18,2021,"33724200","36779530",111,28,"WAS","SG",40,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928,0,NA,"bealbr01"
"37","Brandon Clarke",292,2021,"2726880","2973928",193,25,"MEM","PF",64,1,1246,288,447,0.644,5,22,0.227,283,425,0.666,0.65,85,130,0.654,135,207,342,86,39,68,34,122,666,0,"6MOY-11","clarkbr01"
"38","Brandon Goodwin",541,2021,"343988","375152",484,26,"CLE","PG",36,5,502,64,154,0.416,19,55,0.345,45,99,0.455,0.477,24,38,0.632,14,53,67,91,25,1,36,39,171,0,NA,"goodwbr01"
"39","Brandon Ingram",35,2021,"29467800","32137511",57,24,"NOP","SF",55,55,1869,453,983,0.461,74,226,0.327,379,757,0.501,0.498,266,322,0.826,35,285,320,307,34,26,151,119,1246,0,NA,"ingrabr01"
"40","Brandon Knight",554,2021,"274672","299556",656,30,"DAL","PG",5,0,65,10,25,0.4,4,17,0.235,6,8,0.75,0.48,8,8,1,0,8,8,8,1,0,4,5,32,0,NA,"knighbr03"
"41","Brandon Williams",581,2021,"180798","197177",389,22,"POR","PG",24,16,640,105,282,0.372,31,106,0.292,74,176,0.42,0.427,68,97,0.701,19,55,74,94,24,10,58,52,309,0,NA,"willibr03"
"42","Brodric Thomas",510,2021,"462629","504542",687,25,"BOS","SG",12,0,60,8,18,0.444,2,9,0.222,6,9,0.667,0.5,3,5,0.6,2,8,10,11,1,1,6,7,21,0,NA,"thomabr01"
"43","Brook Lopez",98,2021,"13302325","14507483",497,33,"MIL","C",13,11,298,61,131,0.466,19,53,0.358,42,78,0.538,0.538,20,23,0.87,19,34,53,6,8,15,12,34,161,0,NA,"lopezbr01"
"44","Bruce Brown",222,2021,"4736102","5165181",207,25,"BRK","SF",72,45,1774,256,506,0.506,38,94,0.404,218,412,0.529,0.543,97,128,0.758,100,245,345,148,77,52,56,176,647,0,NA,"brownbr01"
"45","Cade Cunningham",126,2021,"10050120","10960636",76,20,"DET","SG",64,64,2088,429,1031,0.416,114,363,0.314,315,668,0.472,0.471,142,168,0.845,58,296,354,356,78,43,234,200,1114,2,"ROY-3","cunnica01"
"46","Caleb Martin",481,2021,"844011","920476",247,26,"MIA","SF",60,12,1372,208,410,0.507,64,155,0.413,144,255,0.565,0.585,71,93,0.763,70,160,230,64,58,30,52,104,551,0,NA,"martica02"
"47","Cam Thomas",357,2021,"2036280","2220762",242,20,"BRK","SG",67,2,1176,218,503,0.433,47,174,0.27,171,329,0.52,0.48,87,105,0.829,16,145,161,78,33,8,55,66,570,0,NA,"thomaca02"
"48","Cameron Johnson",234,2021,"4437000","4838981",146,25,"PHO","PF",66,16,1730,279,607,0.46,166,391,0.425,113,216,0.523,0.596,98,114,0.86,42,231,273,99,57,16,47,113,822,0,"6MOY-3","johnsca02"
"49","Cameron McGriff",642,2021,"53176","57993",720,24,"POR","SF",3,0,46,5,14,0.357,2,6,0.333,3,8,0.375,0.429,2,2,1,6,9,15,3,0,1,0,7,14,0,NA,"mcgrica01"
"50","Cameron Oliver",618,2021,"85578","93331",683,25,"ATL","SF",2,0,43,10,15,0.667,1,3,0.333,9,12,0.75,0.7,2,3,0.667,2,4,6,3,1,1,0,5,23,0,NA,"oliveca01"
"51","Cameron Payne",180,2021,"6500000","7088884",216,27,"PHO","PG",58,12,1278,240,587,0.409,71,211,0.336,169,376,0.449,0.469,75,89,0.843,24,151,175,282,40,17,103,119,626,0,NA,"payneca01"
"52","Carmelo Anthony",302,2021,"2641691","2881021",114,37,"LAL","PF",69,3,1793,319,723,0.441,149,397,0.375,170,326,0.521,0.544,132,159,0.83,62,226,288,68,47,52,59,166,919,0,NA,"anthoca01"
"53","Carsen Edwards",380,2021,"1859365","2027818",682,23,"DET","SG",4,0,79,9,30,0.3,4,16,0.25,5,14,0.357,0.367,1,1,1,2,4,6,14,2,0,5,4,23,0,NA,"edwarca01"
"54","Cassius Stanley",559,2021,"256734","279993",620,22,"DET","SG",9,1,155,19,46,0.413,4,17,0.235,15,29,0.517,0.457,10,10,1,5,14,19,4,5,2,6,17,52,0,NA,"stanlca01"
"55","Cassius Winston",531,2021,"462629","504542",721,23,"WAS","PG",7,0,39,4,11,0.364,2,6,0.333,2,5,0.4,0.455,4,4,1,0,1,1,7,0,0,3,9,14,0,NA,"winstca01"
"56","Cedi Osman",161,2021,"8133334","8870194",175,26,"CLE","SF",66,3,1462,247,572,0.432,128,359,0.357,119,213,0.559,0.544,87,131,0.664,25,121,146,135,52,10,67,127,709,0,NA,"osmande01"
"57","Chandler Hutchison",240,2021,"4224186","4606886",768,25,"PHO","SF",6,0,22,1,2,0.5,0,0,NA,1,2,0.5,0.5,2,2,1,0,5,5,2,0,0,4,1,4,0,NA,"hutchch01"
"58","Charles Bassey",472,2021,"925258","1009084",601,21,"PHI","C",23,0,168,30,47,0.638,0,4,0,30,43,0.698,0.638,9,12,0.75,22,40,62,7,5,17,8,32,69,0,NA,"bassech01"
"59","Cheick Diallo",608,2021,"102831","112147",732,25,"DET","C",3,0,31,3,8,0.375,0,0,NA,3,8,0.375,0.375,5,6,0.833,4,8,12,0,1,0,1,6,11,0,NA,"diallch01"
"60","Chimezie Metu",405,2021,"1762796","1922501",258,24,"SAC","C",60,20,1279,203,449,0.452,57,186,0.306,146,263,0.555,0.516,71,91,0.78,34,301,335,60,51,32,61,93,534,0,NA,"metuch01"
"61","Chris Boucher",173,2021,"7020000","7655995",163,29,"TOR","SF",80,9,1690,268,577,0.464,68,229,0.297,200,348,0.575,0.523,150,193,0.777,179,315,494,25,49,75,42,174,754,0,NA,"bouchch01"
"62","Chris Chiozza",518,2021,"462629","504542",608,26,"GSW","PG",34,1,372,24,81,0.296,17,53,0.321,7,28,0.25,0.401,2,3,0.667,9,27,36,65,13,0,32,32,67,0,NA,"chiozch01"
"63","Chris Duarte",262,2021,"3749400","4089086",172,24,"IND","SG",55,39,1541,268,621,0.432,94,255,0.369,174,366,0.475,0.507,90,112,0.804,41,185,226,114,56,10,90,95,720,0,NA,"duartch01"
"64","Chris Paul",31,2021,"30800000","33590405",101,36,"PHO","PG",65,65,2139,363,736,0.493,63,199,0.317,300,537,0.559,0.536,169,202,0.837,22,261,283,702,121,20,153,134,958,2,"MVP-9ASNBA3","paulch01"
"65","Christian Wood",94,2021,"13666667","14904833",60,26,"HOU","C",68,67,2094,440,878,0.501,131,336,0.39,309,542,0.57,0.576,207,332,0.623,110,576,686,155,54,65,126,171,1218,0,NA,"woodch01"
"66","Chuma Okeke",275,2021,"3277080","3573975",223,23,"ORL","PF",70,20,1749,216,575,0.376,118,371,0.318,98,204,0.48,0.478,55,65,0.846,47,300,347,118,97,42,57,95,605,0,NA,"okekech01"
"67","CJ Elleby",439,2021,"1517981","1655506",362,21,"POR","SF",58,28,1174,121,308,0.393,37,126,0.294,84,182,0.462,0.453,60,84,0.714,66,161,227,87,35,19,56,116,339,0,NA,"ellebcj01"
"68","Clint Capela",70,2021,"17603448","19198277",147,27,"ATL","C",74,73,2042,370,604,0.613,0,1,0,370,603,0.614,0.613,80,169,0.473,279,598,877,92,55,93,44,166,820,0,NA,"capelca01"
"69","Coby White",192,2021,"5837760","6366646",159,21,"CHI","PG",61,17,1675,279,644,0.433,136,353,0.385,143,291,0.491,0.539,78,91,0.857,17,165,182,176,29,11,70,137,772,0,NA,"whiteco01"
"70","Cody Martin",392,2021,"1782621","1944122",251,26,"CHO","SF",71,11,1866,204,423,0.482,61,159,0.384,143,264,0.542,0.554,75,107,0.701,82,203,285,179,88,32,61,116,544,0,NA,"martico01"
"71","Cody Zeller",327,2021,"2389641","2606136",518,29,"POR","C",27,0,355,51,90,0.567,0,4,0,51,86,0.593,0.567,38,49,0.776,50,75,125,22,8,6,19,56,140,0,NA,"zelleco01"
"72","Cole Anthony",269,2021,"3449400","3761907",78,21,"ORL","PG",65,65,2059,357,912,0.391,132,391,0.338,225,521,0.432,0.464,216,253,0.854,32,316,348,369,46,17,170,171,1062,0,NA,"anthoco01"
"73","Collin Sexton",184,2021,"6349671","6924935",482,23,"CLE","SG",11,11,316,68,151,0.45,11,45,0.244,57,106,0.538,0.487,29,39,0.744,13,23,36,23,10,0,31,25,176,0,NA,"sextoco01"
"74","Corey Kispert",270,2021,"3383640","3690189",212,22,"WAS","SF",77,36,1801,234,514,0.455,112,320,0.35,122,194,0.629,0.564,54,62,0.871,53,156,209,85,35,22,50,93,634,0,NA,"kispeco01"
"75","Cory Joseph",170,2021,"7310000","7972268",265,30,"DET","PG",65,39,1600,178,400,0.445,65,157,0.414,113,243,0.465,0.526,100,113,0.885,29,145,174,237,42,17,85,147,521,0,NA,"josepco01"
"76","Craig Sword",647,2021,"53176","57993",750,28,"WAS","SG",3,0,19,3,4,0.75,0,1,0,3,3,1,0.75,0,0,NA,0,0,0,1,4,0,1,7,6,0,NA,"swordcr01"
"77","D'Angelo Russell",32,2021,"30013500","32732650",65,25,"MIN","PG",65,65,2077,401,975,0.411,176,518,0.34,225,457,0.492,0.502,198,240,0.825,25,191,216,460,62,22,165,130,1176,0,NA,"russeda01"
"78","Daishen Nix",477,2021,"923078","1006706",590,19,"HOU","SG",24,0,261,27,67,0.403,7,26,0.269,20,41,0.488,0.455,16,30,0.533,7,26,33,40,15,0,26,21,77,0,NA,"nixda01"
"79","Dakota Mathias",584,2021,"171156","186662",747,26,"MEM","SG",6,0,16,2,6,0.333,2,6,0.333,0,0,NA,0.5,0,0,NA,0,2,2,1,1,0,0,1,6,0,NA,"mathida01"
"80","Dalano Banton",475,2021,"925258","1009084",455,22,"TOR","PG",64,1,696,83,202,0.411,13,51,0.255,70,151,0.464,0.443,26,44,0.591,38,86,124,99,28,10,53,68,205,0,NA,"bantoda01"
"81","Damian Jones",368,2021,"1977011","2156123",293,26,"SAC","C",56,15,1017,175,266,0.658,10,29,0.345,165,237,0.696,0.677,94,131,0.718,75,171,246,69,26,47,59,130,454,0,NA,"jonesda03"
"82","Damian Lillard",9,2021,"39344900","42909452",180,31,"POR","PG",29,29,1056,222,552,0.402,92,284,0.324,130,268,0.485,0.486,159,181,0.878,13,107,120,212,17,11,83,37,695,0,NA,"lillada01"
"83","Damion Lee",375,2021,"1910860","2083979",290,29,"GSW","SG",63,5,1256,169,383,0.441,63,187,0.337,106,196,0.541,0.523,66,75,0.88,27,176,203,63,39,6,38,95,467,0,NA,"leeda03"
"84","Damyean Dotson",573,2021,"205662","224294",765,27,"NYK","SG",2,0,21,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,NA,0,2,2,1,0,0,0,0,4,0,NA,"dotsoda01"
"85","Daniel Gafford",404,2021,"1782621","1944122",190,23,"WAS","C",72,53,1444,285,411,0.693,0,1,0,285,410,0.695,0.693,107,153,0.699,155,252,407,68,30,99,65,170,677,0,NA,"gaffoda01"
"86","Daniel Oturu",426,2021,"1603559","1748837",736,22,"TOR","C",3,0,27,3,6,0.5,0,1,0,3,5,0.6,0.5,3,5,0.6,1,4,5,0,0,2,0,1,9,0,NA,"oturuda01"
"87","Danilo Gallinari",52,2021,"20475000","22329985",160,33,"ATL","PF",66,18,1672,259,597,0.434,112,294,0.381,147,303,0.485,0.528,141,156,0.904,35,273,308,101,28,12,38,93,771,0,NA,"gallida01"
"88","Danny Green",127,2021,"10000000","10905975",338,34,"PHI","SF",62,28,1353,126,320,0.394,103,271,0.38,23,49,0.469,0.555,11,14,0.786,32,125,157,64,60,37,45,105,366,0,NA,"greenda02"
"89","DaQuan Jeffries",612,2021,"95930","104621",782,24,"MEM","SG",3,0,9,1,2,0.5,0,1,0,1,1,1,0.5,0,0,NA,0,2,2,1,0,0,0,1,2,0,NA,"jeffrda01"
"90","Darius Bazley",313,2021,"2513040","2740715",168,21,"OKC","PF",69,53,1924,274,649,0.422,80,269,0.297,194,380,0.511,0.484,117,170,0.688,71,365,436,97,58,70,90,68,745,0,NA,"bazleda01"
"91","Darius Garland",172,2021,"7040880","7678766",21,22,"CLE","PG",68,68,2430,542,1173,0.462,174,454,0.383,368,719,0.512,0.536,215,241,0.892,39,185,224,583,89,7,248,115,1473,1,"AS","garlada01"
"92","Darren Collison",592,2021,"151821","165575",764,34,"LAL","PG",3,0,37,2,7,0.286,0,3,0,2,4,0.5,0.286,0,0,NA,0,4,4,2,1,0,1,5,4,0,NA,"collida01"
"93","David Johnson",528,2021,"462629","504542",801,20,"TOR","SG",2,0,2,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,"johnsda08"
"94","David Nwaba",226,2021,"4650000","5071278",434,29,"HOU","SF",46,4,609,85,176,0.483,15,49,0.306,70,127,0.551,0.526,48,67,0.716,41,110,151,35,28,20,21,55,233,0,NA,"nwabada01"
"95","Davion Mitchell",228,2021,"4603200","5020238",135,23,"SAC","PG",75,19,2076,352,843,0.418,101,320,0.316,251,523,0.48,0.477,56,85,0.659,33,133,166,313,55,24,114,141,861,0,NA,"mitchda01"
"96","Davon Reed",501,2021,"532398","580631",448,26,"DEN","SG",48,5,668,81,161,0.503,37,86,0.43,44,75,0.587,0.618,10,15,0.667,14,94,108,53,24,9,16,63,209,0,NA,"reedda01"
"97","Day'Ron Sharpe",360,2021,"2009160","2191185",459,20,"BRK","PF",32,8,391,86,149,0.577,2,7,0.286,84,142,0.592,0.584,24,41,0.585,81,79,160,17,10,15,30,60,198,0,NA,"sharpda01"
"98","De'Aaron Fox",38,2021,"28103500","30649609",36,24,"SAC","PG",59,59,2084,516,1092,0.473,74,249,0.297,442,843,0.524,0.506,261,348,0.75,25,206,231,330,68,25,168,172,1367,0,NA,"foxde01"
"99","De'Andre Hunter",163,2021,"7775400","8479832",174,24,"ATL","SF",53,52,1577,254,575,0.442,74,195,0.379,180,380,0.474,0.506,127,166,0.765,26,150,176,68,36,21,69,155,709,0,NA,"huntede01"
"100","De'Anthony Melton",144,2021,"8805976","9603776",152,23,"MEM","SG",73,15,1657,281,695,0.404,139,372,0.374,142,323,0.44,0.504,90,120,0.75,64,264,328,194,104,39,112,128,791,0,"6MOY-8","meltode01"
"101","Dean Wade",393,2021,"1782621","1944122",417,25,"CLE","PF",51,28,980,99,217,0.456,51,142,0.359,48,75,0.64,0.574,20,30,0.667,31,119,150,52,29,7,16,88,269,0,NA,"wadede01"
"102","Deandre Ayton",104,2021,"12632950","13777464",89,23,"PHO","C",58,58,1713,442,697,0.634,7,19,0.368,435,678,0.642,0.639,106,142,0.746,149,444,593,84,40,40,91,142,997,0,NA,"aytonde01"
"103","Deividas Sirvydis",425,2021,"1603559","1748837",776,21,"DET","SG",3,0,27,1,10,0.1,1,7,0.143,0,3,0,0.15,0,0,NA,0,6,6,1,3,1,0,4,3,0,NA,"sirvyde01"
"104","DeJon Jarreau",583,2021,"172821","188477",800,24,"IND","SG",1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,"jarrede01"
"105","Dejounte Murray",87,2021,"15428880","16826699",24,25,"SAS","PG",68,68,2366,573,1241,0.462,96,294,0.327,477,947,0.504,0.5,196,247,0.794,80,483,563,627,138,23,180,138,1438,13,"AS","murrade01"
"106","Delon Wright",152,2021,"8526316","9298779",358,29,"ATL","SG",77,8,1452,122,269,0.454,44,116,0.379,78,153,0.51,0.535,54,63,0.857,50,170,220,188,93,19,45,56,342,0,NA,"wrighde01"
"107","DeMar DeRozan",43,2021,"26000000","28355537",2,32,"CHI","PF",76,76,2743,774,1535,0.504,50,142,0.352,724,1393,0.52,0.521,520,593,0.877,56,336,392,374,68,24,181,178,2118,0,"MVP-10ASNBA2","derozde01"
"108","Deni Avdija",223,2021,"4692840","5117999",186,21,"WAS","SF",82,8,1984,250,579,0.432,82,259,0.317,168,320,0.525,0.503,103,136,0.757,52,373,425,167,59,44,87,190,685,0,NA,"avdijde01"
"109","Derrick Favors",134,2021,"9720900","10601590",450,30,"OKC","C",39,18,653,94,182,0.516,2,16,0.125,92,166,0.554,0.522,16,25,0.64,58,126,184,25,17,12,9,62,206,0,NA,"favorde01"
"110","Derrick Rose",95,2021,"13445120","14663215",384,33,"NYK","PG",26,4,636,122,274,0.445,37,92,0.402,85,182,0.467,0.513,30,31,0.968,21,57,78,103,22,12,39,15,311,0,NA,"rosede01"
"111","Derrick Walton",611,2021,"95930","104621",698,26,"DET","PG",3,3,108,6,26,0.231,3,13,0.231,3,13,0.231,0.288,4,4,1,2,8,10,21,7,4,11,8,19,0,NA,"waltode01"
